step,level_used,level_next,growth,pulses,latches,mass_u,mass_v,total_input,total_output,errors
160,4,4,0,46424,36748,2317581,2890522,506255603565,7652534,0
161,4,4,0,60309,36748,2317581,2890522,509365148435,7712843,0
162,4,4,0,45277,36752,2317581,2890522,512492597771,7758120,0
163,4,4,0,45267,36757,2317581,2890522,515613358781,7803387,0
164,4,4,0,45157,36799,2317581,2890522,518729450650,7848544,0
165,4,4,0,45510,36794,2317581,2890522,521842126645,7894054,0
166,4,4,0,45411,36775,2317581,2890522,524952539614,7939465,0
167,4,4,0,46096,36788,2317581,2890522,528061502846,7985561,0
168,4,4,0,60532,36761,2317581,2890522,531170269579,8046093,0
169,4,4,0,45297,36765,2317581,2890522,534297891346,8091390,0
170,4,4,0,45596,36760,2317581,2890522,537418790219,8136986,0
171,4,4,0,45235,36787,2317581,2890522,540535458348,8182221,0
172,4,4,0,45452,36806,2317581,2890522,543648607515,8227673,0
173,4,4,0,45452,36820,2317581,2890522,546759266106,8273125,0
174,4,4,0,45789,36826,2317581,2890522,549868343827,8318914,0
175,4,4,0,60679,36772,2317581,2890522,552976512500,8379593,0
176,4,4,0,45056,36781,2317581,2890522,556104441508,8424649,0
177,4,4,0,45789,36809,2317581,2890522,559224847609,8470438,0
178,4,4,0,45285,36808,2317581,2890522,562341684083,8515723,0
179,4,4,0,45373,36815,2317581,2890522,565454705652,8561096,0
180,4,4,0,45473,36816,2317581,2890522,568565548083,8606569,0
181,4,4,0,45855,36807,2317581,2890522,571674363084,8652424,0
182,4,4,0,46060,36799,2317581,2890522,574782650111,8698484,0
183,4,4,0,59504,36776,2317581,2890522,577890973821,8757988,0
184,4,4,0,45556,36790,2317581,2890522,581016468287,8803544,0
185,4,4,0,45723,36781,2317581,2890522,584136289372,8849267,0
186,4,4,0,45099,36794,2317581,2890522,587252392186,8894366,0
187,4,4,0,45895,36818,2317581,2890522,590364639406,8940261,0
188,4,4,0,45258,36837,2317581,2890522,593475696098,8985519,0
189,4,4,0,46414,36792,2317581,2890522,596584457955,9031933,0
190,4,4,0,59110,36787,2317581,2890522,599693757733,9091043,0
191,4,4,0,45961,36771,2317581,2890522,602819440881,9137004,0
192,4,4,0,45824,36788,2317581,2890522,605940581142,9182828,0
193,4,4,0,45327,36805,2317581,2890522,609057630905,9228155,0
194,4,4,0,45267,36801,2317581,2890522,612170849679,9273422,0
195,4,4,0,45765,36820,2317581,2890522,615281197551,9319187,0
196,4,4,0,46038,36836,2317581,2890522,618390321315,9365225,0
197,4,4,0,46510,36797,2317581,2890522,621499125834,9411735,0
198,4,4,0,58353,36799,2317581,2890522,624608504759,9470088,0
199,4,4,0,45763,36790,2317581,2890522,627732892606,9515851,0
200,4,4,0,45811,36803,2317581,2890522,630852065338,9561662,0
201,4,4,0,45181,36789,2317581,2890522,633967888254,9606843,0
202,4,4,0,45830,36851,2317581,2890522,637079920084,9652673,0
203,4,4,0,45515,36844,2317581,2890522,640190354489,9698188,0
204,4,4,0,46556,36820,2317581,2890522,643299142263,9744744,0
205,4,4,0,58423,36796,2317581,2890522,646408607629,9803167,0
206,4,4,0,45881,36756,2317581,2890522,649533163535,9849048,0
207,4,4,0,46078,36782,2317581,2890522,652652781901,9895126,0
208,4,4,0,45299,36814,2317581,2890522,655769274949,9940425,0
209,4,4,0,45702,36822,2317581,2890522,658882096118,9986127,0
210,4,4,0,45728,36849,2317581,2890522,661992759269,10031855,0
211,4,4,0,46054,36823,2317581,2890522,665102285518,10077909,0
212,4,4,0,58529,36802,2317581,2890522,668211034352,10136438,0
213,4,4,0,45747,36782,2317581,2890522,671335571814,10182185,0
214,4,4,0,46076,36763,2317581,2890522,674454919294,10228261,0
215,4,4,0,45595,36801,2317581,2890522,677571114075,10273856,0
216,4,4,0,45453,36782,2317581,2890522,680684229374,10319309,0
217,4,4,0,45819,36797,2317581,2890522,683795036137,10365128,0
218,4,4,0,46108,36822,2317581,2890522,686904516197,10411236,0
219,4,4,0,45929,36804,2317581,2890522,690013651469,10457165,0
220,4,4,0,58209,36790,2317581,2890522,693122047921,10515374,0
221,4,4,0,45934,36783,2317581,2890522,696245659527,10561308,0
222,4,4,0,46206,36777,2317581,2890522,699364540656,10607514,0
223,4,4,0,45142,36813,2317581,2890522,702480990098,10652656,0
224,4,4,0,45864,36792,2317581,2890522,705593511301,10698520,0
225,4,4,0,45623,36803,2317581,2890522,708704277318,10744143,0
226,4,4,0,46469,36820,2317581,2890522,711813630520,10790612,0
227,4,4,0,57718,36788,2317581,2890522,714923133726,10848330,0
228,4,4,0,46155,36797,2317581,2890522,718046384282,10894485,0
229,4,4,0,46212,36792,2317581,2890522,721165724854,10940697,0
230,4,4,0,45553,36795,2317581,2890522,724281960213,10986250,0
231,4,4,0,45674,36766,2317581,2890522,727395135624,11031924,0
232,4,4,0,45709,36801,2317581,2890522,730506217617,11077633,0
233,4,4,0,45930,36797,2317581,2890522,733615793924,11123563,0
234,4,4,0,46450,36784,2317581,2890522,736724314688,11170013,0
235,4,4,0,57594,36797,2317581,2890522,739833143669,11227607,0
236,4,4,0,46237,36801,2317581,2890522,742955845749,11273844,0
237,4,4,0,45780,36791,2317581,2890522,746074724948,11319624,0
238,4,4,0,45463,36785,2317581,2890522,749189960870,11365087,0
239,4,4,0,45739,36786,2317581,2890522,752302399588,11410826,0
240,4,4,0,45607,36810,2317581,2890522,755412739822,11456433,0
241,4,4,0,46322,36801,2317581,2890522,758521636407,11502755,0
242,4,4,0,57980,36811,2317581,2890522,761630270195,11560735,0
243,4,4,0,46213,36792,2317581,2890522,764753595370,11606948,0
244,4,4,0,46084,36792,2317581,2890522,767872900550,11653032,0
245,4,4,0,45319,36798,2317581,2890522,770988730895,11698351,0
246,4,4,0,45918,36814,2317581,2890522,774101375126,11744269,0
247,4,4,0,45668,36804,2317581,2890522,777212271391,11789937,0
248,4,4,0,46210,36842,2317581,2890522,780321798804,11836147,0
249,4,4,0,57745,36816,2317581,2890522,783430673019,11893892,0
250,4,4,0,46058,36843,2317581,2890522,786553598571,11939950,0
251,4,4,0,46248,36800,2317581,2890522,789672467467,11986198,0
252,4,4,0,45616,36824,2317581,2890522,792788440731,12031814,0
253,4,4,0,45447,36823,2317581,2890522,795901453193,12077261,0
254,4,4,0,45856,36818,2317581,2890522,799012195017,12123117,0
255,4,4,0,46085,36837,2317581,2890522,802121495571,12169202,0
